Pure Tag,Edited Version (if appl.) –,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,EO
Jump-Up,Jump-Up,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,374
Jungle,Jungle,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,375
Hispanic American Music,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,,376
Library Music,Library Music,Soundtrack,Descriptor Genres,,,,,,,,,,,377
Liquid Drum and Bass,Liquid Drum and Bass,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,378
Lounge,Lounge,Easy Listening,,,,,,,,,,,,379
Mandopop,Mandopop,C-Pop,Pop,,,,,,,,,,,380
Melodic Death Metal,Melodic Death Metal,Death Metal,Metal,Rock,,,,,,,,,,381
Melodic Dubstep,Melodic Dubstep,EDM,Drum and Bass,Dance,Electronic,,,,,,,,,382
Memphis Rap,Memphis Rap,Hardcore Hip Hop,Hip Hop,,,,,,,,,,,383
