2,Bl~*es Rock,Singer/Songwriter,,,,,,,
5,MPB,Samba Soul,R&B,Samba-R0ck,Brazilian Music,,,,
3,P0p Punk,Punk Rock,Emo-P0p,,,,,,
4,P0p Punk,Punk Rock,Indie Rock,Alt Rock,,,,,
4,Cloud Rap,Exp~*rimental Hip Hop,Glitch Hop,Electronic,,,,,
3,J~*zz Pop,Dream P0p,Alt Rock,,,,,,
4,Art Pop,Chamber Pop,Indie Pop,Amb~*ent Pop,,,,,
4,Art Pop,Chamber Pop,Indie Pop,Amb~*ent Pop,,,,,
4,Experimental,Art Pop,Amb~*ent Pop,Modern Classical,,,,,
4,Chamber Jazz,Amb~*ent Pop,Art Pop,Experimental,,,,,
5,Alt R&B,Contemporary R&B,Danc3hall,Jamaican Music,Caribbean Music,,,,
3,F0lk Rock,Soft Rock,Pop Rock,,,,,,
4,Neo-Soul,P0p Rap,Hip Hop,R&B,,,,,
5,P0p Rap,Hip Hop,Electropop,Electronic,Pop,,,,
2,P0p Rap,Hip Hop,,,,,,,
3,Conscious Hip Hop,West Coast Hip Hop,P0p Rap,,,,,,
2,West Coast Hip Hop,G-F~*nk,,,,,,,
5,P0p Rap,Hip Hop,Electropop,Electronic,Pop,,,,
6,Dance-Pop,Progressive House,Dream Trance,EDM,P0p Rap,Hip Hop,,,
3,West Coast Hip Hop,P0p Rap,Hyphy,,,,,,
3,Art Pop,Dream P0p,Alt Rock,,,,,,
2,Hard Rock,Bl~*es Rock,,,,,,,
2,Hard Rock,Bl~*es Rock,,,,,,,
2,Hard Rock,Bl~*es Rock,,,,,,,
2,Hard Rock,Bl~*es Rock,,,,,,,
2,N0ise Rock,Psychedelic Rock,,,,,,,
2,Amb~*ent Pop,Singer/Songwriter,,,,,,,
3,Amb~*ent Pop,Singer/Songwriter,Contemporary Folk,,,,,,
1,N0ise Rock,,,,,,,,
4,Country Rap,Contemporary Country,Trap (Hip Hop),P0p Rap,,,,,
3,Em0 Rap,Cloud Rap,Hip Hop,,,,,,
3,Em0 Rap,Cloud Rap,Hip Hop,,,,,,
2,Em0 Rap,Trap (Hip Hop),,,,,,,
3,Death Industrial (Experimental),Power Electronics,Neocl~*ssical Darkwave,,,,,,
3,Death Industrial (Experimental),Power Electronics,Neocl~*ssical Darkwave,,,,,,
5,Contemporary R&B,Dance-Pop,P0p Rap,D~*sco Rap,Hip Hop,,,,
8,Comedy Rap,P0p Rap,Hip Hop,Musical Comedy,Novelty,Electropop,Electronic,Pop,
5,F0lk Rock,Baroque Pop,Psychedelic Folk,Psychedelic Pop,Contemporary Folk,,,,
2,F0lk Rock,Psychedelic Rock,,,,,,,
4,R3ggaeton,Latin Pop,Latin American Music,Hispanic Music,,,,,
2,Psychedelic Rock,Exp~*rimental Rock,,,,,,,
3,West Coast Hip Hop,Mobb Music,G-F~*nk,,,,,,
3,R@gga Jungle,Drum and Bass,EDM,,,,,,
2,P0p Rap,UK Hip Hop,,,,,,,
4,F~*nky House,Nu-Disco,EDM,Dance,,,,,
4,Post-Rock,Dream P0p,Alt Rock,Electronic,,,,,
2,Dream P0p,Alt Rock,,,,,,,
4,Dream P0p,Alt Rock,Amb~*ent Pop,Post-Rock,,,,,
2,Dream P0p,Alt Rock,,,,,,,
2,P0p Rap,Hip Hop,,,,,,,
3,Contemporary Country,C0untry Soul,R&B,,,,,,
4,Pop Soul,Pop Rock,R&B,Blue-Eyed S0ul,,,,,
6,Dream P0p,Alt Rock,Slowcore,Indie Rock,Psychedelic Folk,Contemporary Folk,,,
6,Dream P0p,Alt Rock,Slowcore,Indie Rock,Psychedelic Folk,Contemporary Folk,,,
3,Trap (Hip Hop),P0p Rap,Southern Hip Hop,,,,,,
3,Neo-Psychedelia,Dream P0p,Alt Rock,,,,,,
4,Indie Pop,Indie Rock,Dream P0p,Alt Rock,,,,,
3,Dance-Pop,F~*nky House,EDM,,,,,,
2,P0p Rap,Southern Hip Hop,,,,,,,
3,Shoegaze,Dream P0p,Alt Rock,,,,,,
3,P0p Punk,Punk Rock,Emo-P0p,,,,,,
4,East Coast Hip Hop,J~*zz Rap,Boom Bap,Hardcore Hip Hop,,,,,
4,East Coast Hip Hop,Conscious Hip Hop,J~*zz Rap,Hardcore Hip Hop,,,,,
6,Chamber Folk,Contemporary Folk,Nueva canción latinoam~*ricana,Singer/Songwriter,Latin American Music,Hispanic Music,,,
5,Krautrock,Prog Rock,Exp~*rimental Rock,Ambient,Art Rock,,,,
2,Post-Gr~*nge,Alt Rock,,,,,,,
2,Hyphy,Exp~*rimental Hip Hop,,,,,,,
5,P0p Rap,Dance-Pop,Electropop,Hip Hop,Electronic,,,,
2,P0p Rap,Hip Hop,,,,,,,
2,Afr0beats,Dance-Pop,,,,,,,
2,Conscious Hip Hop,J~*zz Rap,,,,,,,
3,P0p Rap,G-F~*nk,East Coast Hip Hop,,,,,,
2,J~*zz Rap,Instrumental Hip Hop,,,,,,,
2,J~*zz Rap,Hip Hop,,,,,,,
3,Nu J~*zz,Instrumental Hip Hop,Electronic,,,,,,
3,J-Pop,J~*zz Pop,Television Soundtrack,,,,,,
3,Amb~*ent House,Deep House,EDM,,,,,,
2,Dream P0p,Alt Rock,,,,,,,
3,Amb~*ent House,Breakbeat,EDM,,,,,,
2,Southern Hip Hop,Exp~*rimental Hip Hop,,,,,,,
3,P0p Punk,Punk Rock,Emo-P0p,,,,,,
3,P0p Punk,Punk Rock,Alt Rock,,,,,,
3,French House,F~*nky House,EDM,,,,,,
2,F~*nky House,EDM,,,,,,,
3,P0p Rap,Hip Hop,Miami Bass,,,,,,
5,P0p Reggae,New Wave,Pop Rock,Jamaican Music,Caribbean Music,,,,
2,F0lktronica,Electronic,,,,,,,
3,Baroque Pop,Blue-Eyed S0ul,Psychedelic Pop,,,,,,
2,P0p Punk,Punk Rock,,,,,,,
2,Exp~*rimental Hip Hop,Hardcore Hip Hop,,,,,,,
3,Indie Pop,Dream P0p,Alt Rock,,,,,,
3,Electronic,Art Pop,Amb~*ent Pop,,,,,,
3,Amb~*ent Pop,Chamber Pop,Indie Pop,,,,,,
1,Exp~*rimental Rock,,,,,,,,
3,Rhythm & Bl~*es,Soul,R&B,,,,,,
5,P0p Rap,Hip Hop,Alt R&B,Contemporary R&B,UK Hip Hop,,,,
3,Shoegaze,Alt Rock,N0ise P0p,,,,,,
5,Electropop,N0ise P0p,Alt Rock,Pop,Electronic,,,,
2,P0p Rap,East Coast Hip Hop,,,,,,,
3,Trap (Hip Hop),P0p Rap,West Coast Hip Hop,,,,,,
1,C0untry Rock,,,,,,,,
3,J~*zzstep,Drum and Bass,EDM,,,,,,
6,Electro Swing,Nu J~*zz,EDM,Electronic,Mashup,Soundtrack,,,
4,F~*nky House,EDM,Mashup,Soundtrack,,,,,
6,F~*nky House,EDM,City Pop,Adult Contemporary,Mashup,Soundtrack,,,
2,F~*nky House,EDM,,,,,,,
4,Hip House,P0p Rap,Hip Hop,EDM,,,,,
2,F~*nky House,EDM,,,,,,,
2,J~*zz Pop,Video Game Soundtrack,,,,,,,
