Chamber Folk,Chamber Folk,Contemporary Folk,Folk,,,,,,,,,303
Chamber Music,Chamber Music,Western Classical,Classical,,,,,,,,,304
Chamber Pop,Chamber Pop,Indie Pop,Pop,,,,,,,,,305
Chicago Blues,Chicago Blues,Electric Blues,Blues,,,,,,,,,306
Chicago House,Chicago House,EDM,House,,,,,,,,,307
Chicago Soul,Chicago Soul,R&B,Soul,,,,,,,,,308
Chillstep,Chillstep,Dubstep,EDM,,,,,,,,,309
Chillwave,Chillwave,Indietronica,Electronic,,,,,,,,,310
Chiptune,Chiptune,Bit Music,Electronic,,,,,,,,,311
City Pop,City Pop,Pop,,,,,,,,,,312
Classical Period,Classical Period,Western Classical,Classical,,,,,,,,,313
Classical Waltz,Classical Waltz,Western Classical,Classical,,,,,,,,,314
Comedy Rock,Comedy Rock,Musical Comedy,Comedy,,,,,,,,,315
Country Soul,C0untry Soul,R&B,Soul,,,,,,,,,316
Crunkcore,Crunkcore,Hip Hop,Crunk,,,,,,,,,317
Dancefloor Drum and Bass,Dancefloor Drum and Bass,EDM,Drum and Bass,,,,,,,,,318
Deep Funk,Deep Funk,R&B,Funk,,,,,,,,,319
Deep House,Deep House,EDM,House,,,,,,,,,320
Deep Soul,Deep Soul,R&B,Soul,,,,,,,,,321
Depressive Black Metal,Depressive Black Metal,Black Metal,Metal,,,,,,,,,322
Detroit Techno,Detroit Techno,EDM,Techno,,,,,,,,,323
Dream Pop,Dream P0p,Alt Rock,Rock,,,,,,,,,324
Dream Trance,Dream Trance,EDM,Trance,,,,,,,,,325
Drill and Bass,Drill and Bass,IDM,Electronic,,,,,,,,,326
Dutch House,Dutch House,EDM,House,,,,,,,,,327
East African Music,East African Music,African Music,Regional Music,,,,,,,,,328
Electric Texas Blues,Electric Texas Blues,Electric Blues,Blues,,,,,,,,,329
Electro House,Electro House,EDM,House,,,,,,,,,330
Emo-Pop,Emo-P0p,Punk,Emo,,,,,,,,,331
Euro House,Euro House,EDM,House,,,,,,,,,332
Euro-Disco,Euro-Disco,Dance,Disco,,,,,,,,,333
Euro-Trance,Euro-Trance,EDM,Trance,,,,,,,,,334
Film Soundtrack,Film Soundtrack,Soundtrack,Descriptor Genres,,,,,,,,,335
