Country Soul,C0untry Soul,R&B,Soul,,,,,,,,,,,319
Crunkcore,Crunkcore,Hip Hop,Crunk,,,,,,,,,,,320
Dancefloor Drum and Bass,Dancefloor Drum and Bass,EDM,Drum and Bass,Dance,Electronic,,,,,,,,,321
Deep Funk,Deep Funk,R&B,Funk,,,,,,,,,,,322
Deep House,Deep House,EDM,House,Dance,Electronic,,,,,,,,,323
Deep Soul,Deep Soul,R&B,Soul,,,,,,,,,,,324
Depressive Black Metal,Depressive Black Metal,Black Metal,Metal,Rock,,,,,,,,,,325
Detroit Techno,Detroit Techno,EDM,Techno,Dance,Electronic,,,,,,,,,326
Dream Pop,Dream P0p,Alternative Rock,Rock,,,,,,,,,,,327
Dream Trance,Dream Trance,EDM,Trance,Dance,Electronic,,,,,,,,,328
Drill and Bass,Drill and Bass,IDM,Electronic,,,,,,,,,,,329
Dutch House,Dutch House,EDM,House,Dance,Electronic,,,,,,,,,330
East African Music,East African Music,African Music,Regional Music,,,,,,,,,,,331
Electric Texas Blues,Electric Texas Blues,Electric Blues,Blues,,,,,,,,,,,332
Electro House,Electro House,EDM,House,Dance,Electronic,,,,,,,,,333
Emo-Pop,Emo-P0p,Punk,Emo,,,,,,,,,,,334
Euro House,Euro House,EDM,House,Dance,Electronic,,,,,,,,,335
Euro-Disco,Euro-Disco,Dance,Disco,,,,,,,,,,,336
Euro-Trance,Euro-Trance,EDM,Trance,Dance,Electronic,,,,,,,,,337
Film Soundtrack,Film Soundtrack,Soundtrack,Descriptor Genres,,,,,,,,,,,338
Folk Baroque,Folk Baroque,Contemporary Folk,Folk,,,,,,,,,,,339
Free Jazz,Free Jazz,Avant-Garde Jazz,Jazz,,,,,,,,,,,340
French House,French House,EDM,House,Dance,Electronic,,,,,,,,,341
Funky House,F–nky House,EDM,House,Dance,Electronic,,,,,,,,,342
Future Garage,Future Garage,UK Garage,EDM,Dance,Electronic,,,,,,,,,343
Future House,Future House,EDM,House,Dance,Electronic,,,,,,,,,344
Gabber,Gabber,Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,,345
Gangsta Rap,Gangsta Rap,Hardcore Hip Hop,Hip Hop,,,,,,,,,,,346
Garage House,Garage House,EDM,House,Dance,Electronic,,,,,,,,,347
Garage Rock Revival,Garage Rock Revival,Garage Rock,Rock,,,,,,,,,,,348
Ghetto House,Ghetto House,EDM,House,Dance,Electronic,,,,,,,,,349
Goa Trance,Goa Trance,EDM,Trance,Dance,Electronic,,,,,,,,,350
Gothic Country,Gothic Country,Alt-Country,Country,Northern American Music,Regional Music,,,,,,,,,351
Grunge,Grunge,Alternative Rock,Rock,,,,,,,,,,,352
Halftime,Halftime,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,353
Hard Bop,Hard Bop,Bebop,Jazz,,,,,,,,,,,354
Hard Trance,Hard Trance,EDM,Trance,Dance,Electronic,,,,,,,,,355
Hardstep,Hardstep,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,356
Harsh Noise,Harsh Noise,Experimental,Noise,,,,,,,,,,,357
Hawaiian Music,Hawaiian Music,Polynesian Music,Regional Music,,,,,,,,,,,358
Hip House,Hip House,EDM,House,Dance,Electronic,,,,,,,,,359
Horrorcore,Horrorcore,Hardcore Hip Hop,Hip Hop,,,,,,,,,,,360
Hypnagogic Pop,Hypnagogic Pop,Neo-Psychedelia,Psych,,,,,,,,,,,361
Ibiza Trance,Ibiza Trance,EDM,Trance,Dance,Electronic,,,,,,,,,362
Impressionism,Impressionism,Western Classical,Classical,,,,,,,,,,,363
Indie Folk,Indie Folk,Contemporary Folk,Folk,,,,,,,,,,,364
Indie Rock,Indie Rock,Alternative Rock,Rock,,,,,,,,,,,365
Industrial Hip Hop,Industrial Hip Hop,Experimental Hip Hop,Hip Hop,,,,,,,,,,,366
Italo House,Italo House,EDM,House,Dance,Electronic,,,,,,,,,367
Jamaican Music,Jamaican Music,Caribbean Music,Regional Music,,,,,,,,,,,368
Japanese Music,Japanese Music,East Asian Music,Regional Music,,,,,,,,,,,369
Jazzstep,J–zzstep,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,370
Jump-Up,Jump-Up,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,371
Jungle,Jungle,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,372
Hispanic American Music,Hispanic American Music,Hispanic Music,Regional Music,,,,,,,,,,,373
Library Music,Library Music,Soundtrack,Descriptor Genres,,,,,,,,,,,374
Liquid Drum and Bass,Liquid Drum and Bass,Drum and Bass,EDM,Dance,Electronic,,,,,,,,,375
Lounge,Lounge,Easy Listening,Pop,,,,,,,,,,,376
Mandopop,Mandopop,C-Pop,Pop,,,,,,,,,,,377
Melodic Death Metal,Melodic Death Metal,Death Metal,Metal,Rock,,,,,,,,,,378
