Pure Tag,Edited Version (if appl.) –,I. Parents,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
Atmospheric Black Metal,Atmospheric Black Metal,Black Metal,Black Metal,Metal,Rock,,,,,,,,,
Atmospheric Drum and Bass,Atmospheric Drum and Bass,Drum and Bass,EDM,Drum and Bass,Dance,Electronic,,,,,,,,
Atmospheric Sludge Metal,Atmospheric Sludge Metal,Sludge Metal,Sludge Metal,Metal,Rock,,,,,,,,,
Avant-Folk,Avant-Folk,Contemporary Folk,Contemporary Folk,Folk,,,,,,,,,,
Baggy,Baggy,Alternative Rock,Alternative Rock,Rock,,,,,,,,,,
Balearic Beat,Balearic Beat,EDM,EDM,Dance,Electronic,,,,,,,,,
Baroque Music,Baroque Music,Western Classical,Western Classical,Classical,European Music,Regional Music,,,,,,,,
Bassline,Bassline,UK Garage,UK Garage,EDM,Dance,Electronic,,,,,,,,
Bedroom Pop,Bedroom Pop,Indie Pop,Indie Pop,Pop,,,,,,,,,,
Berlin School,Berlin School,Progressive Electronic,Progressive Electronic,Electronic,,,,,,,,,,
Big Beat,Big Beat,Breakbeat,Breakbeat,EDM,Dance,Electronic,,,,,,,,
Black 'n' Roll,Black 'n' Roll,Black Metal,Black Metal,Metal,Rock,,,,,,,,,
Bleep Techno,Bleep Techno,Techno,EDM,Techno,Dance,Electronic,,,,,,,,
Boom Bap,Boom Bap,Hip Hop,Hip Hop,,,,,,,,,,,
Bossa nova,Bossa nova,Brazilian Music,Brazilian Music,South American Music,Regional Music,,,,,,,,,
Breakcore,Breakcore,Hardcore [EDM],Hardcore [EDM],EDM,Dance,Electronic,,,,,,,,
British Music,British Music,European Music,European Music,Regional Music,,,,,,,,,,
British Folk Rock,British F0lk Rock,Folk Rock; British Music,Folk Rock,Rock,British Music,European Music,Regional Music,,,,,,,
Brostep,Brostep,Dubstep,Dubstep,EDM,Dance,Electronic,,,,,,,,
Brutal Death Metal,Brutal Death Metal,Death Metal,Death Metal,Metal,Rock,,,,,,,,,
Carols,Carols,Holiday Music,Holiday Music,Descriptor Genres,,,,,,,,,,
Celtic Rock,Celtic Rock,Folk Rock; European Music,Folk Rock,Rock,European Music,Regional Music,,,,,,,,
Central African Music,Central African Music,African Music,African Music,Regional Music,,,,,,,,,,
Chamber Folk,Chamber Folk,Contemporary Folk,Contemporary Folk,Folk,,,,,,,,,,
Chamber Music,Chamber Music,Western Classical,Western Classical,Classical,,,,,,,,,,
Chamber Pop,Chamber Pop,Indie Pop,Indie Pop,Pop,,,,,,,,,,
Chicago Blues,Chicago Blues,Electric Blues,Electric Blues,Blues,,,,,,,,,,
Chicago House,Chicago House,House,EDM,House,Dance,Electronic,,,,,,,,
Chicago Soul,Chicago Soul,Soul,R&B,Soul,,,,,,,,,,
Chillstep,Chillstep,Dubstep,Dubstep,EDM,Dance,Electronic,,,,,,,,
Chillwave,Chillwave,Indietronica,Indietronica,Electronic,,,,,,,,,,
Chiptune,Chiptune,Bit Music,Bit Music,Electronic,,,,,,,,,,
City Pop,City Pop,Pop,Pop,,,,,,,,,,,
Classical Period,Classical Period,Western Classical; European Music,Western Classical,Classical,European Music,Regional Music,,,,,,,,
Waltz,Waltz,European Music,European Music,Regional Music,,,,,,,,,,
